"",Pvalues,FDR,MangabaPulp,NC,LDAscore
Ligilactobacillus,0.0090234,0.15069,182.42,0.21827,1.96
Collinsella,0.0090234,0.15069,8.5797,143.79,-1.84
Dorea,0.0090234,0.15069,1.7027,59.883,-1.48
UCG_002,0.0090234,0.15069,1.3669,35.77,-1.26
Bacteroides,0.02828,0.22489,8.0487,116.41,-1.74
Faecalibacterium,0.02828,0.22489,1.8523,23.879,-1.08
Lactobacillus,0.044539,0.29195,36.997,0.064574,1.29
Enterococcus,0.047202,0.29195,10.337,51.531,-1.33
unclassified,0.047202,0.29195,13.111,44.215,-1.22
Candidatus_Soleaferrea,0.0053457,0.15069,0,0.21349,-0.044
Parabacteroides,0.0088159,0.15069,0.78678,12.83,-0.846
UBA1819,0.0088159,0.15069,0.028476,0.17366,-0.0304
Christensenellaceae_R_7_group,0.0090234,0.15069,0.99979,5.7334,-0.527
Coprococcus,0.0090234,0.15069,0.72437,5.4178,-0.525
Eubacterium_hallii_group,0.0090234,0.15069,0.61501,0.031848,0.111
unidentified_Lachnospiraceae,0.015019,0.19417,0.012297,0.13895,-0.0267
Enterorhabdus,0.016294,0.19417,0.32067,5.6861,-0.566
Eggerthella,0.018603,0.19417,0,2.1841,-0.321
Flavonifractor,0.018603,0.19417,0,1.5828,-0.253
UCG_009,0.018603,0.19417,0,0.094441,-0.02
Eubacterium,0.018603,0.19417,0,0.074073,-0.0158
Colidextribacter,0.026388,0.22489,0.052071,1.2742,-0.207
Phascolarctobacterium,0.027803,0.22489,1.6652,13.9,-0.852
unidentified_Ruminococcaceae,0.027803,0.22489,0.15204,1.1684,-0.178
Weissella,0.034266,0.2488,7.9137,0.0039941,0.695
Holdemania,0.034266,0.2488,0.010152,0.10002,-0.0191
Butyricicoccus,0.047202,0.29195,0.42968,1.2175,-0.144
Bilophila,0.052412,0.31043,0.055353,0.81351,-0.14
Cloacibacillus,0.053906,0.31043,0,0.24514,-0.0502
Negativibacillus,0.058213,0.3136,0.017411,0.81537,-0.146
Family_XIII_UCG_001,0.058213,0.3136,0.022763,0.15688,-0.0282
Alistipes,0.066955,0.34942,0.27317,1.1339,-0.155
Romboutsia,0.072254,0.35163,0.0099189,0.05638,-0.00997
Oscillibacter,0.074913,0.35163,0.073443,2.0981,-0.304
Bifidobacterium,0.0758,0.35163,405.13,16.188,2.29
UCG_005,0.0758,0.35163,0.465,0.93606,-0.0919
Slackia,0.093693,0.41605,1.2987,93.807,-1.67
Family_XIII_AD3011_group,0.094671,0.41605,0.025183,0.16385,-0.0291
Desulfovibrio,0.11273,0.42071,0.15499,0.98059,-0.15
Lachnospiraceae_ND3007_group,0.11273,0.42071,0.064537,0.22674,-0.0339
Lachnospiraceae_NK4A136_group,0.11273,0.42071,0.048027,0.17636,-0.027
Subdoligranulum,0.11719,0.42071,0.78104,2.8368,-0.307
unidentified_Eubacterium_coprostanoligenes_group,0.12609,0.42071,0.0087054,0.15433,-0.0305
Anaerotruncus,0.12609,0.42071,0.01213,0.10728,-0.0202
Pediococcus,0.13604,0.42071,19.901,0,1.04
Gordonibacter,0.13604,0.42071,0,0.25167,-0.0515
Pseudoflavonifractor,0.13604,0.42071,0,0.2459,-0.0504
Limosilactobacillus,0.13604,0.42071,0.20453,0,0.0423
Clostridium_innocuum_group,0.13604,0.42071,0,0.15334,-0.0321
Prevotella_7,0.13604,0.42071,0.089934,0,0.0191
Howardella,0.13604,0.42071,0,0.035788,-0.0077
Sanguibacteroides,0.13604,0.42071,0,0.028819,-0.00621
Acetanaerobacterium,0.13604,0.42071,0,0.023362,-0.00504
GCA_900066575,0.13604,0.42071,0,0.017627,-0.00381
Intestinimonas,0.19596,0.51447,0.18728,2.0771,-0.289
Olsenella,0.20869,0.51447,1.5112,9.292,-0.689
Ruminococcus_gauvreauii_group,0.20869,0.51447,0.27921,1.2138,-0.167
unidentified_Oscillospiraceae,0.22035,0.51447,0.055703,0.38014,-0.0653
Clostridium_sensu_stricto_1,0.24479,0.51447,0.74319,7.3501,-0.634
Blautia,0.25059,0.51447,5.0482,2.7029,0.337
Fusicatenibacter,0.25059,0.51447,0.51659,0.76071,-0.05
Alloprevotella,0.28959,0.51447,0.36499,0.086638,0.0566
Parasutterella,0.28959,0.51447,0.096757,0.18921,-0.0196
Erysipelotrichaceae_UCG_003,0.28959,0.51447,0.057019,0.091548,-0.00743
Paraclostridium,0.31731,0.51447,0,0.34304,-0.0687
Oscillospira,0.31731,0.51447,0,0.18637,-0.0387
Enorma,0.31731,0.51447,0,0.12335,-0.026
Raoultibacter,0.31731,0.51447,0,0.057906,-0.0124
Christensenella,0.31731,0.51447,0,0.028953,-0.00624
Lachnospiraceae_NK3A20_group,0.31731,0.51447,0,0.028419,-0.00613
Lachnospiraceae_UCG_001,0.31731,0.51447,0.022961,0,0.00496
Murdochiella,0.31731,0.51447,0,0.021314,-0.0046
UC5_1_2E3,0.31731,0.51447,0,0.018204,-0.00393
Fournierella,0.31731,0.51447,0,0.018117,-0.00392
GCA_900066755,0.31731,0.51447,0,0.017372,-0.00376
Mailhella,0.31731,0.51447,0,0.016475,-0.00356
Anaerovorax,0.31731,0.51447,0,0.016242,-0.00351
Lactiplantibacillus,0.31731,0.51447,0.016057,0,0.00347
Parvibacter,0.31731,0.51447,0.015988,0,0.00346
Actinomyces,0.31731,0.51447,0,0.015146,-0.00328
Harryflintia,0.31731,0.51447,0,0.014516,-0.00314
Pyramidobacter,0.31731,0.51447,0,0.012982,-0.00281
UCG_007,0.31731,0.51447,0,0.013003,-0.00281
Shuttleworthia,0.31731,0.51447,0,0.011581,-0.00251
Phocea,0.31731,0.51447,0,0.010887,-0.00236
Faecalicoccus,0.31731,0.51447,0,0.010537,-0.00228
Coprobacter,0.31731,0.51447,0.010437,0,0.00226
DTU089,0.31731,0.51447,0.0099876,0,0.00216
Merdibacter,0.31731,0.51447,0.0093018,0,0.00202
Erysipelotrichaceae_UCG_006,0.31731,0.51447,0.0083046,0,0.0018
Rheinheimera,0.31731,0.51447,0.007322,0,0.00159
Faecalitalea,0.31731,0.51447,0,0.0069799,-0.00151
unidentified_Clostridia_vadinBB60_group,0.31731,0.51447,0,0.0067988,-0.00147
Anaerofilum,0.31731,0.51447,0,0.0065741,-0.00143
A2,0.31731,0.51447,0.0065457,0,0.00142
unidentified_Erysipelotrichaceae,0.31731,0.51447,0.0064031,0,0.00139
Ruminococcus_gnavus_group,0.31731,0.51447,0.0062622,0,0.00136
Catenibacillus,0.31731,0.51447,0,0.0057906,-0.00126
Prevotellaceae_NK3B31_group,0.31731,0.51447,0,0.005822,-0.00126
Defluviitaleaceae_UCG_011,0.31731,0.51447,0,0.0056886,-0.00123
UCG_004,0.31731,0.51447,0.004823,0,0.00105
Dielma,0.31731,0.51447,0,0.0046533,-0.00101
Erysipelatoclostridium,0.31731,0.51447,0.0045654,0,0.00099
Mitsuokella,0.33211,0.52323,66.256,6.1709,1.49
Senegalimassilia,0.33211,0.52323,0.1536,21.883,-1.07
Lachnoclostridium,0.33211,0.52323,0.11723,1.6321,-0.245
Prevotella_9,0.34129,0.53266,31.226,1.0959,1.21
Hydrogenoanaerobacterium,0.36836,0.54926,0.0058036,0.58812,-0.111
unidentified_Prevotellaceae,0.36836,0.54926,0.25052,0.005822,0.0501
Akkermansia,0.36836,0.54926,0.0078255,0.15584,-0.031
Odoribacter,0.36836,0.54926,0.0060648,0.036724,-0.00661
Turicibacter,0.36836,0.54926,0.0035622,0.0093062,-0.00125
Mogibacterium,0.43544,0.62688,0.19,3.8746,-0.454
Lachnospiraceae_UCG_010,0.43544,0.62688,0.063468,0.93301,-0.157
Lachnospiraceae_UCG_004,0.43544,0.62688,0.034193,0.49002,-0.0892
Barnesiella,0.43544,0.62688,0.068657,0.11746,-0.0105
Megasphaera,0.45921,0.63611,15.778,10.519,0.56
UCG_003,0.45921,0.63611,0.11219,0.81849,-0.131
Anaerostipes,0.45921,0.63611,0.21356,0.088469,0.0263
Streptococcus,0.4647,0.63611,0.81322,0.43332,0.0755
NK4A214_group,0.4647,0.63611,0.28557,0.44082,-0.0325
Ruminococcus,0.4647,0.63611,3.0969,3.1035,-0.00144
Sellimonas,0.52053,0.69543,0.075203,3.3216,-0.419
Rikenellaceae_RC9_gut_group,0.52053,0.69543,0.052063,0.10652,-0.0117
Intestinibacter,0.52053,0.69543,0.020822,0.049587,-0.0062
Acidaminococcus,0.52962,0.70196,23.666,56.427,-1.24
Holdemanella,0.59001,0.75528,0.53985,4.0354,-0.439
Roseburia,0.59001,0.75528,0.42637,0.28863,0.0289
Allisonella,0.59703,0.75528,2.1005,1.1752,0.165
CAG_56,0.59703,0.75528,0.13872,0.082049,0.0121
Escherichia_Shigella,0.60151,0.75528,111.09,186.62,-1.59
Agathobacter,0.60151,0.75528,3.6872,4.761,-0.187
Ruminococcus_torques_group,0.60151,0.75528,1.0626,1.0884,-0.00557
Libanicoccus,0.63787,0.78327,0.10714,1.1283,-0.179
Butyrivibrio,0.63787,0.78327,0.10346,0.32772,-0.0462
Eubacterium_xylanophilum_group,0.63787,0.78327,0.12586,0.02096,0.0222
Eubacterium_ventriosum_group,0.69985,0.82891,0.042425,0.11529,-0.0155
Lactococcus,0.69985,0.82891,0.11754,0.052056,0.014
Eubacterium_brachy_group,0.69985,0.82891,0.0097556,0.015896,-0.00133
Peptococcus,0.69985,0.82891,0.024228,0.029295,-0.0011
Eubacterium_ruminantium_group,0.69985,0.82891,0.026908,0.027855,-0.000206
Lachnospira,0.74648,0.8657,0.31784,0.17515,0.0299
Sutterella,0.74648,0.8657,0.14461,0.17391,-0.00632
Butyricimonas,0.74648,0.8657,0.035542,0.038041,-0.000542
Prevotella,0.81395,0.91435,0.94543,0.20086,0.137
Monoglobus,0.81395,0.91435,0.14414,0.3441,-0.0414
Veillonella,0.81395,0.91435,0.022425,0.049162,-0.00577
Dialister,0.83404,0.91435,3.9277,2.285,0.26
Lacticaseibacillus,0.8815,0.91435,3.0267,0.027262,0.398
Solobacterium,0.8815,0.91435,0.038183,0.77678,-0.136
Coriobacteriaceae_UCG_003,0.8815,0.91435,1.2379,0.59384,0.121
Oribacterium,0.8815,0.91435,0.019637,0.27282,-0.0518
Asteroleplasma,0.8815,0.91435,0.07774,0.0050627,0.0155
Paraprevotella,0.8815,0.91435,0.12077,0.056344,0.0138
Sphaerochaeta,0.8815,0.91435,0.044589,0.10067,-0.012
Eisenbergiella,0.8815,0.91435,0.01213,0.057906,-0.00983
Hungatella,0.8815,0.91435,0.035041,0.012868,0.00479
Coprobacillus,0.8815,0.91435,0.021608,0.042982,-0.00462
Tyzzerella,0.8815,0.91435,0.033963,0.026058,0.00171
Coriobacteriaceae_UCG_002,0.8815,0.91435,0.0088449,0.012042,-0.000694
Paludicola,0.8815,0.91435,0.011607,0.010198,0.000306
Succinivibrio,0.91129,0.92234,1.0597,0.3611,0.13
Angelakisella,0.91129,0.92234,0.031196,0.035142,-0.000856
Methanobrevibacter,0.91656,0.92234,0.6267,0.29878,0.0659
Catenibacterium,0.91681,0.92234,9.0041,6.8985,0.312
Eubacterium_eligens_group,0.91681,0.92234,0.35827,0.33655,0.00469
Eubacterium_siraeum_group,1,1,0.84596,0.33924,0.0981
